year,EN_0,EN_a,EN_b,EN_c,NA,NA
0,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,NA,NA
90,NA,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA,NA
98,1,1,1,1,NA,NA
99,1.00168609162303,1.00198381142812,1.00175290941304,1.00200540297138,NA,NA
100,1.00343024095173,1.00369712052003,1.00357444408869,1.00362543262276,NA,NA
101,1.00450468422377,1.0056078489561,1.00483040901851,1.00477085287706,NA,NA
102,1.0061502922313,1.0081202397697,1.00685636346293,1.00655216253337,NA,NA
103,1.00810971428071,1.01035540652731,1.0081942615867,1.00824954159247,NA,NA
104,1.0099038407541,1.01229860108531,1.00971500861877,1.0094907684559,NA,NA
105,1.01153980275028,1.01389999617284,1.01090368367068,1.01095636159523,NA,NA
106,1.01280246269639,1.01607772322627,1.01207482600297,1.01218353588175,NA,NA
107,1.01383446953829,1.01833255398525,1.01340405611499,1.01347564322014,NA,NA
108,1.01494487793744,1.02108834319279,1.01483253907799,1.01416941919116,NA,NA
109,1.01560546690213,1.02319695278063,1.01583362367069,1.01553136839412,NA,NA
110,1.01664422641885,1.02518593898059,1.01664270771162,1.01565412128128,NA,NA
111,1.01703133992527,1.02789057493682,1.01769090167589,1.01631940544131,NA,NA
112,1.01745408498545,1.02956168524717,1.0185982794627,1.01730212625457,NA,NA
113,1.01758419875555,1.03127809718421,1.01877383131243,1.01730860953476,NA,NA
114,1.0174795458303,1.03322776104051,1.01862749361471,1.01777176369095,NA,NA
115,1.01774097341006,1.03468645986443,1.01811960906545,1.01729136947664,NA,NA
116,1.01743735625238,1.03498438524509,1.01710209795747,1.0170811348123,NA,NA
117,1.01611641772496,1.03516740682632,1.01565017467501,1.01664896875632,NA,NA
118,1.01469878504623,1.03560611697234,1.01542208620234,1.01674517317809,NA,NA
119,1.01273968474907,1.03446085990432,1.01392001828912,1.01615622965102,NA,NA
120,1.01176242103817,1.03391847989895,1.01163823345627,1.01447584249026,NA,NA
121,1.01104893054948,1.03408538563684,1.00948037037367,1.01230542481628,NA,NA
122,1.01032238450866,1.03391568106508,1.00859703284447,1.00996467580433,NA,NA
123,1.00993035759998,1.03327265389707,1.00698984119306,1.00797710273745,NA,NA
124,1.0075103598161,1.03296942722676,1.00500225717051,1.0073044513245,NA,NA
125,1.00552616348889,1.03161615196411,1.00470347847402,1.00755167295217,NA,NA
126,1.00361128689158,1.03072506077242,1.00279954532901,1.00564229063584,NA,NA
127,1.00123947416486,1.02890619554753,1.00201476639401,1.0043732051349,NA,NA
128,0.999085033892781,1.02644710883203,1.00136515511439,1.00342106843385,NA,NA
129,0.998402212979851,1.02443398545369,0.999124466193553,1.00200436939559,NA,NA
130,0.997418114194143,1.02227623580083,0.997008834627252,0.99988893457711,NA,NA
131,0.99564461666927,1.02087973132075,0.993755902612485,0.99774630786069,NA,NA
132,0.995930340368604,1.01901773365315,0.991177949759253,0.995953206705231,NA,NA
133,0.993500188514734,1.01711279853997,0.990059144369,0.993996201266339,NA,NA
134,0.991806153365993,1.01555132407974,0.988566810079039,0.992770320817107,NA,NA
135,0.989400680178144,1.01297775887351,0.987270283411001,0.991159855402169,NA,NA
136,0.987922918519813,1.00913588972868,0.986399724166271,0.988824222077425,NA,NA
137,0.986583950690825,1.00592142648615,0.984746838668976,0.986855206461957,NA,NA
138,0.984617480985629,1.00389165829364,0.982542461526546,0.984954354856089,NA,NA
139,0.983245875319342,1.00156564963601,0.980896495315828,0.983520605353179,NA,NA
140,0.980989420709032,0.999156184183175,0.979806977950568,0.98116952690809,NA,NA
141,0.979592887835776,0.997791034626558,0.977192676059086,0.979362042644609,NA,NA
142,0.978848976908308,0.994877863217856,0.975315425237584,0.977119759381205,NA,NA
143,0.976623791372007,0.992235759308021,0.973662628935072,0.975051370687647,NA,NA
144,0.97638260055865,0.989979827001737,0.971141342477977,0.974733746781594,NA,NA
145,0.975126833998099,0.986935070173456,0.969741719424912,0.973823585339409,NA,NA
146,0.973090992609807,0.984818832271787,0.968108979064455,0.972229388060789,NA,NA
147,0.971859296823053,0.981537989858488,0.967477213507021,0.970740117997945,NA,NA
148,0.969244174426669,0.979505881875959,0.966539487506022,0.969786340892495,NA,NA
149,0.967778122702683,0.975771978932075,0.96433553444922,0.967648981856793,NA,NA
150,0.966521581165225,0.97252294149297,0.96259206306803,0.965827183958076,NA,NA
151,0.965197845161407,0.970789778447492,1.0659465421798,1.03652059674577,NA,NA
152,0.963857965022233,0.96926659826396,1.12265578802793,1.08297874009775,NA,NA
153,0.962299274427292,0.968593156150754,1.14751625569943,1.10910570268373,NA,NA
154,0.962535936272226,0.96759965422401,1.15294879989762,1.1189994171405,NA,NA
155,0.962879415146676,0.967950936871847,1.15103434534987,1.12219587537178,NA,NA
156,0.96381251406453,0.968736497506091,1.14920691879415,1.12388388780591,NA,NA
157,0.965065719719528,0.96984409121949,1.14973868058301,1.12522601166664,NA,NA
158,0.966637054363451,0.970987847577357,1.15096353225314,1.12691446977244,NA,NA
159,0.968035260666302,0.972244026686874,1.15235080016219,1.12866667227313,NA,NA
160,0.969818812427565,0.973719976197922,1.15396758465536,1.12969849635283,NA,NA
161,0.971903761017556,0.975149308103936,1.15600234630117,1.13132534808253,NA,NA
162,0.973692045238902,0.976556141070631,1.15790046720963,1.13261682274545,NA,NA
163,0.975403878283885,0.977962534383517,1.1592379069727,1.13426552413985,NA,NA
164,0.977203519992218,0.979276945512851,1.16111530419702,1.13622602876616,NA,NA
165,0.9792116477732,0.980216125232764,1.16287155495709,1.1414796998851,NA,NA
166,0.981029270753712,0.981494150337347,1.16487034046152,1.15084154602132,NA,NA
167,0.982881006327295,0.982980715719974,1.16654507713865,1.15831749851589,NA,NA
168,0.984613961230549,0.984438626351919,1.1682573866582,1.16264050286372,NA,NA
169,0.986397720109269,0.986034146564329,1.17020671024754,1.1654552563366,NA,NA
170,0.98797634424469,0.98745845566027,1.17179063469596,1.16783149802444,NA,NA
171,0.989589675802603,0.988610094376594,1.17347264475252,1.16956221246753,NA,NA
172,0.991376151943173,0.989980721180902,1.17525569130698,1.17148804105936,NA,NA
173,0.993171040479676,0.99150852400268,1.1767736292257,1.17291659783248,NA,NA
174,0.994588244320968,0.993297849948882,1.17854483317037,1.17417923197584,NA,NA
175,0.996368213148874,0.994260766324396,1.1803835484129,1.17581945460252,NA,NA
176,0.997914065143493,0.995563975801138,1.18151735573894,1.17723172018133,NA,NA
177,0.999643597244491,0.997084454188741,1.18330081235063,1.17896781963695,NA,NA
178,1.00139818415072,0.998454358779852,1.18509860365348,1.18084602928953,NA,NA
179,1.00297109199329,0.999770950674554,1.18692132059529,1.18242936326528,NA,NA
180,1.00481307844381,1.00090005803246,1.18884276586503,1.18447395625926,NA,NA
181,1.00688873774129,1.00225495091581,1.19034279289416,1.18655680111932,NA,NA
182,1.00862267796736,1.00358348883008,1.19176299710876,1.19416914966164,NA,NA
183,1.01039424631976,1.00495365808208,1.193478322586,1.20046250997662,NA,NA
184,1.01219605983097,1.00619738729419,1.19500305010318,1.20488060708202,NA,NA
185,1.01372367664827,1.00737749054578,1.19679566905375,1.20754539062015,NA,NA
186,1.0155421630652,1.0083524480047,1.19857537460941,1.20918855944082,NA,NA
187,1.01733232142637,1.00970554445784,1.20047807609037,1.21083005115354,NA,NA
188,1.01906606357464,1.01111582196429,1.2024556461703,1.21277447539437,NA,NA
189,1.02070059303323,1.01240989982878,1.20399846843871,1.21433959853562,NA,NA
190,1.02250826394536,1.01361939215206,1.20585063134942,1.21615677731571,NA,NA
191,1.02440562754469,1.01484643965628,1.207194408668,1.21775268457112,NA,NA
192,1.02599765694784,1.01576823975846,1.20872836170163,1.21955220934483,NA,NA
193,1.02786238732904,1.01686568032912,1.20981793105158,1.22094396690545,NA,NA
194,1.0296077453396,1.01801542193618,1.21191865370732,1.22245747858854,NA,NA
195,1.03145490942856,1.01944460328424,1.21341098307242,1.22150883141346,NA,NA
196,1.03321575724225,1.02060015005879,1.21526646937182,1.22781203300942,NA,NA
197,1.03482823102594,1.02190286570367,1.21735542468363,1.2326016533997,NA,NA
198,1.03678393201402,1.02317804823712,1.21918011376041,1.23608947835934,NA,NA
199,1.03829506759615,1.02419549037102,1.22087313019457,1.23847465942696,NA,NA
200,1.03969711788976,1.02546090396529,1.22241776317181,1.24005912473841,NA,NA
201,1.04103436589882,1.02620149440215,1.22368583048563,1.24105868864378,NA,NA
202,1.04283356416718,1.02756244136495,1.22510333706792,1.24270478592919,NA,NA
203,1.04465624180705,1.02856346399519,1.22670849504842,1.24451276447039,NA,NA
204,1.04673026636666,1.02976219427581,1.2285927470386,1.24596470060438,NA,NA
205,1.04820276599984,1.03112152010841,1.23016341524188,1.24738026805793,NA,NA
206,1.04974481537752,1.03209836055081,1.2316865066591,1.24913007561501,NA,NA
207,1.05120706021309,1.03319551720215,1.23292914908195,1.25056281156225,NA,NA
208,1.05291700153561,1.03406945952635,1.23480436444168,1.25208647548551,NA,NA
209,1.05496230257922,1.03524887697591,1.23647443453529,1.25330516741861,NA,NA
210,1.05623489085219,1.03610993940005,1.23808186506754,1.255088688202,NA,NA
211,1.0574902044861,1.03741236695807,1.23965516623318,1.25640720884512,NA,NA
212,1.05917464428531,1.0385043136986,1.24100273942904,1.25797133606035,NA,NA
213,1.06109766968806,1.0396219335105,1.24290818445797,1.25923788946494,NA,NA
214,1.06274239449112,1.04083257120608,1.24449163791017,1.26068765530889,NA,NA
215,1.06426141633124,1.04156944739738,1.24605314228218,1.26237287020585,NA,NA
216,1.06555340048367,1.04249727021277,1.24755278671394,1.26415697993919,NA,NA
217,1.06700601192366,1.04335432754075,1.24918765526293,1.26590902945035,NA,NA
218,1.06846848265136,1.04453536647145,1.25091068327933,1.26724003612128,NA,NA
219,1.07019407758358,1.04539948243212,1.2522546316748,1.26854991031575,NA,NA
220,1.07202292061846,1.04643829361874,1.25391056417136,1.26962213653144,NA,NA
221,1.0739191716444,1.0473645715919,1.25541348925989,1.27108944368146,NA,NA
222,1.07535155520865,1.04864516412206,1.25678674224581,1.27234660511224,NA,NA
223,1.07704520830763,1.04982524434249,1.25827387353989,1.27406401474464,NA,NA
224,1.0786392008068,1.05099132131273,1.25969333056785,1.27589295504351,NA,NA
225,1.08003430869208,1.05191959724967,1.26138461334992,1.27738408369016,NA,NA
226,1.08124866060194,1.05279930289046,1.26254871406993,1.27867884210016,NA,NA
227,1.08229458007483,1.05377094838135,1.26401463884407,1.27976159575889,NA,NA
228,1.08398450962906,1.05442839577316,1.26538208009091,1.28095142331762,NA,NA
229,1.08562085725113,1.05540191529828,1.26709094633365,1.28243221242148,NA,NA
230,1.08734361680991,1.05603491294602,1.26871752668247,1.28404959289371,NA,NA
231,1.08862973740252,1.05707210238827,1.27008165528579,1.28563517923201,NA,NA
232,1.09001380105975,1.05812454021085,1.2715257858394,1.28695253352911,NA,NA
233,1.09196524546122,1.05951255733689,1.27309313692201,1.28824341505877,NA,NA
234,1.09363860090027,1.06063593857902,1.2748162495068,1.28990030054672,NA,NA
235,1.09507460827502,1.06135770501562,1.27632547260268,1.291387348327,NA,NA
236,1.09672842528616,1.06246033549287,1.27784961848828,1.29290808986128,NA,NA
237,1.09818556028072,1.06315405923726,1.27957308934459,1.29422775822472,NA,NA
238,1.09965768302966,1.06392082688653,1.28098772642175,1.29613603017168,NA,NA
239,1.1012280324501,1.06466975074157,1.28251510247182,1.29787283371782,NA,NA
240,1.10249193351158,1.06544082556805,1.28363767692619,1.29906057061876,NA,NA
241,1.10377095971038,1.06654849697322,1.28522067505221,1.30009663482935,NA,NA
242,1.10528245067032,1.06734403040528,1.28684327103573,1.30134878057388,NA,NA
243,1.10702583783657,1.06800678645672,1.28831571329709,1.30243677337719,NA,NA
244,1.10831168271959,1.06903341438092,1.28981711202558,1.3038945722176,NA,NA
245,1.10972930303088,1.07002137400244,1.29109136999464,1.30526927323782,NA,NA
246,1.11153402597119,1.07080274818661,1.2925137435378,1.30677608659878,NA,NA
247,1.11299900038638,1.07194192538028,1.29399938831849,1.30848511178709,NA,NA
248,1.11470341991773,1.07284100807617,1.29553542476915,1.30964306881671,NA,NA
249,1.11643324704935,1.07371295493712,1.29707798810902,1.31049828878826,NA,NA
250,1.1176553935789,1.07432298903034,1.2983351987313,1.31177268649226,NA,NA
251,1.11873397090548,1.07475619249266,1.29942430688502,1.31286907484535,NA,NA
252,1.12028404322874,1.07562836277775,1.30044765425691,1.31465159038988,NA,NA
253,1.12141359042342,1.07675381392861,1.30176059520268,1.31604793185963,NA,NA
254,1.12323633481769,1.07752366393626,1.30318742241599,1.31734093840996,NA,NA
255,1.1244285525765,1.07835089771527,1.30451364328605,1.31883844271624,NA,NA
256,1.12572112495244,1.07910528807012,1.30564692832764,1.31961797709109,NA,NA
257,1.12731063750595,1.07960528609753,1.30714652639602,1.32113578000117,NA,NA
258,1.12882411371404,1.08026829729031,1.30826778451845,1.32284216502435,NA,NA
259,1.13046277474374,1.08105240994478,1.30952723878999,1.32444578794246,NA,NA
260,1.13181302764311,1.08195386134028,1.31090530381707,1.32604539015413,NA,NA
261,1.1333014323077,1.08275590100824,1.31232416239926,1.32686187414135,NA,NA
262,1.13484801030613,1.08370492428828,1.31391254046809,1.32822574930926,NA,NA
263,1.13629758834456,1.08470267065975,1.31540675262413,1.32988785606313,NA,NA
264,1.13759690907418,1.08558592621333,1.31697797206411,1.33133461331208,NA,NA
265,1.13904278666369,1.08601652592664,1.31847085778975,1.33284404502521,NA,NA
266,1.14028830110872,1.0868610130249,1.3197449936321,1.33419046066075,NA,NA
267,1.14173145607219,1.08774934920772,1.3207331075721,1.33572923902386,NA,NA
268,1.14296237688203,1.08820500699472,1.32214622450749,1.33689136601435,NA,NA
269,1.14428293812786,1.08901352684046,1.32383002015109,1.33830798238249,NA,NA
270,1.14602289459458,1.09001253808304,1.3252269974073,1.33962743022586,NA,NA
271,1.14727079406917,1.09087705908498,1.32654366528223,1.34079119786977,NA,NA
272,1.14899712414419,1.09172640698559,1.32791972842617,1.34246143328836,NA,NA
273,1.15021034838144,1.09219507347165,1.32881499417822,1.34375278793019,NA,NA
274,1.15173123944421,1.09289689225077,1.33052350682557,1.34500804476077,NA,NA
275,1.15343252881985,1.09352784797811,1.33186835438207,1.34634817587303,NA,NA
276,1.15431042070334,1.09404322436931,1.33287567410303,1.34737974492037,NA,NA
277,1.15586440064265,1.09486307611431,1.33451192161431,1.34847864500108,NA,NA
278,1.1573987993895,1.09575623554772,1.3357718406638,1.34987013781809,NA,NA
279,1.15864106914336,1.09620933288428,1.33731960461174,1.35124284728507,NA,NA
280,1.15998952031952,1.09692820915203,1.33875971249553,1.35269913679805,NA,NA
281,1.16109014532437,1.09803968109283,1.34005458973165,1.35393969632432,NA,NA
282,1.16242501297271,1.09885659327263,1.34125665927315,1.35500923655772,NA,NA
283,1.16392493133158,1.09966104678126,1.34279522188125,1.35622343930373,NA,NA
284,1.16521792628673,1.10075013972023,1.34427123661008,1.35763872707329,NA,NA
285,1.16636975887292,1.10124293746237,1.34533151490053,1.35922741189789,NA,NA
286,1.16785359120853,1.10194832203481,1.34660212578294,1.36065767506211,NA,NA
287,1.16908869449965,1.10252828520251,1.34796620881881,1.36195087200274,NA,NA
288,1.17046709034046,1.10306567907218,1.34918179109642,1.36312250620722,NA,NA
289,1.17163892759235,1.10378683292389,1.35048752243729,1.36441647247805,NA,NA
290,1.17277644995156,1.10434773726127,1.35166297656381,1.36569352792702,NA,NA
291,1.17441645391695,1.10499007314363,1.35309608984541,1.36711509588714,NA,NA
292,1.17589021870502,1.10523787119036,1.35463373717474,1.36858319532575,NA,NA
293,1.17729090391081,1.10613987866764,1.35577250543207,1.36961300359899,NA,NA
294,1.17867461497168,1.10666647324999,1.35686244146063,1.37114427202849,NA,NA
295,1.17992306308402,1.1077131826756,1.35804632317592,1.37267512217703,NA,NA
296,1.18133663735328,1.10838431706693,1.35963003192519,1.37381531070713,NA,NA
297,1.18242369497257,1.10897351800954,1.36078549900802,1.3748536405274,NA,NA
298,1.18383950640839,1.109576247936,1.36234751098939,1.37608047442216,NA,NA
299,1.18484649922285,1.11014926631072,1.3638699225762,1.37727486492368,NA,NA
300,1.18625515373228,1.11101437186535,1.36508144696374,1.37852627599972,NA,NA
301,1.18740386818251,1.11162040783755,1.36610386836145,1.37947328894575,NA,NA
302,1.18869160081451,1.11227024547206,1.36718334382677,1.38066563291342,NA,NA
303,1.18992337701449,1.11276969671789,1.3681455433243,1.38194761963545,NA,NA
304,1.19099074715082,1.11376930466483,1.36934632374498,1.38289936843432,NA,NA
305,1.192089492751,1.11459821370822,1.3704411122583,1.38410689755964,NA,NA
306,1.19345785129236,1.11527670170652,1.37155882069697,1.38558227680013,NA,NA
307,1.19483854608728,1.11572862261162,1.37298249271322,1.38692335976428,NA,NA
308,1.19616053112905,1.11633388785165,1.37423416281223,1.38809410685854,NA,NA
309,1.19773185593862,1.1166583061251,1.37551047723592,1.38909408481176,NA,NA
310,1.19874154704158,1.11740522833137,1.37673490103972,1.39037061928953,NA,NA
311,1.20032667317514,1.11823519781694,1.37767532596642,1.39116043095558,NA,NA
312,1.2018781016459,1.118826571804,1.37870570171812,1.39240570970105,NA,NA
313,1.20286812677235,1.119359142116,1.37993595954726,1.39364902906492,NA,NA
314,1.20407566968335,1.11969156316796,1.38116243318946,1.39495628914034,NA,NA
315,1.20533172625801,1.12040112980358,1.38246322304978,1.39609683967596,NA,NA
316,1.20627038247999,1.12068493585701,1.38385344040596,1.39740042142875,NA,NA
317,1.20745678629776,1.12142832425037,1.38549815067652,1.39846489343556,NA,NA
318,1.20878617685654,1.12210818696743,1.38625899969079,1.39946428657234,NA,NA
319,1.2098209624995,1.12259190960042,1.38766473868043,1.40037446494696,NA,NA
320,1.21125699162903,1.1230597299876,1.38922549516935,1.40181924901934,NA,NA
321,1.21269554381674,1.12376524261326,1.38997531109235,1.40357973168025,NA,NA
322,1.21401845552288,1.12387098567151,1.39119465999652,1.40496657061733,NA,NA
323,1.2151496568758,1.12460996910395,1.39252749988561,1.40630272888219,NA,NA
324,1.21624781157036,1.12507783967711,1.39393104387768,1.40689671862369,NA,NA
325,1.21730324409215,1.12565392593347,1.39522695851927,1.4078232614503,NA,NA
326,1.21820086269668,1.12599955919218,1.39603323707832,1.40854207187796,NA,NA
327,1.21961106154739,1.12656015771967,1.39763232603283,1.40976274500562,NA,NA
328,1.22113158700066,1.1274057309234,1.3988450100023,1.41098614286099,NA,NA
329,1.22212941047193,1.12852113189175,1.3999576819951,1.41232899536427,NA,NA
330,1.22338323683361,1.12882651313772,1.40091498756936,1.41360374700597,NA,NA
331,1.22470256769247,1.1291388519425,1.40226527824622,1.41480790767223,NA,NA
332,1.22534392165383,1.1294771933616,1.40322305476695,1.41591962515849,NA,NA
333,1.22632923910475,1.1300361224154,1.40419083687295,1.41713126532977,NA,NA
334,1.22766231372186,1.13057826636238,1.40532663926692,1.41818079710162,NA,NA
335,1.22855935329154,1.13104162348691,1.40635056458917,1.41932909188587,NA,NA
336,1.23002277472314,1.13165402114708,1.4073732775986,1.42011085113296,NA,NA
337,1.23168208332703,1.13211600701849,1.40831804531137,1.42126575140974,NA,NA
338,1.23268657220566,1.13284446060621,1.40975978357432,1.42228721194243,NA,NA
339,1.23375581062094,1.13332651578347,1.41113925338193,1.42335053353964,NA,NA
340,1.23486978789728,1.13385002919191,1.41238376849727,1.42475431482278,NA,NA
341,1.23581577687198,1.13426205579103,1.41348663647605,1.42608410225874,NA,NA
342,1.23720845164864,1.13499070104183,1.41432211844195,1.42732932358334,NA,NA
343,1.23894843796609,1.13547943512286,1.41577422881955,1.42837783094284,NA,NA
344,1.23995934937333,1.13596838188017,1.41664704648814,1.42950006785412,NA,NA
345,1.24107862835992,1.13627880085162,1.41740427393552,1.43033883268554,NA,NA
346,1.24234230213855,1.13695976305416,1.41861421599865,1.43152267472789,NA,NA
347,1.24352021766699,1.13756267937945,1.41961905503011,1.43284914649415,NA,NA
348,1.24436628240172,1.13841570248232,1.42105020528028,1.43416988339388,NA,NA
349,1.24537582648605,1.13904875057926,1.42228581235887,1.43530874083534,NA,NA
350,1.24646628833159,1.13980821770289,1.42331524004912,1.43657680605743,NA,NA
