year,VU_0,VU_a,VU_b,VU_c,NA,NA
0,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA
41,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,NA,NA
90,NA,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA,NA
98,1,1,1,1,NA,NA
99,1.00198784136972,1.0019261611478,1.00174229435446,1.00176391697747,NA,NA
100,1.00369755664451,1.00389800439518,1.00386647101333,1.00334907731196,NA,NA
101,1.0049685447073,1.00578915909147,1.00554130042867,1.00473460200371,NA,NA
102,1.00680135147893,1.00791004023475,1.00731965771622,1.00656725682201,NA,NA
103,1.00857518202268,1.00997898305762,1.00933540827014,1.00836692797116,NA,NA
104,1.00998659011407,1.0115493190907,1.01101907689834,1.01040163574491,NA,NA
105,1.01154781762264,1.0136586076999,1.01231064361636,1.01181969779279,NA,NA
106,1.01304238679161,1.0157202289223,1.01409259006513,1.01366593158986,NA,NA
107,1.01407543611337,1.01784409149962,1.01540625344372,1.01527886902397,NA,NA
108,1.01563028857747,1.02010972344648,1.01700597595866,1.01661276979439,NA,NA
109,1.01751433442563,1.02199102343564,1.01889926181623,1.01830694537516,NA,NA
110,1.01886252773853,1.02359143690261,1.02008953411852,1.01981878607765,NA,NA
111,1.02028570565574,1.02526699530308,1.02122785193691,1.0205280978678,NA,NA
112,1.02122339410794,1.02723629734256,1.0224222875126,1.02144062124157,NA,NA
113,1.022867432202,1.02935729728952,1.02375570915809,1.02241678357437,NA,NA
114,1.02439945709615,1.0314124258223,1.02471788271658,1.0228796789052,NA,NA
115,1.02556328002646,1.03284091681581,1.02562606579018,1.0244397060509,NA,NA
116,1.02729763689045,1.03448760070806,1.02678465848168,1.02618681037514,NA,NA
117,1.02852209913185,1.03604973214854,1.02756683069005,1.02721693717891,NA,NA
118,1.03003807762942,1.03752876844208,1.02885090811445,1.02811136602144,NA,NA
119,1.03048718265182,1.03913823555613,1.02942302783352,1.02913374270044,NA,NA
120,1.03087516271039,1.04048417186536,1.03006179808134,1.02994117157904,NA,NA
121,1.03186562776623,1.0414869876543,1.03104362746329,1.03064596048455,NA,NA
122,1.03213255607943,1.04314149564329,1.03192940081038,1.03160108839612,NA,NA
123,1.03280159864298,1.044372449159,1.03257277009027,1.03177840364957,NA,NA
124,1.03337975487134,1.04534048804636,1.03354280321506,1.03199824004393,NA,NA
125,1.03427712618356,1.0460331551274,1.03370052865353,1.03299636603482,NA,NA
126,1.03381563997721,1.04665343117343,1.03401941328089,1.03344068545678,NA,NA
127,1.03400588089074,1.04814050710067,1.03452626715338,1.03391790056218,NA,NA
128,1.03487881365333,1.04939479746249,1.0342392775972,1.03447278530526,NA,NA
129,1.03527882594646,1.05031890048499,1.03486571752539,1.03533169590152,NA,NA
130,1.03588653627661,1.05119184443948,1.03656857434819,1.03599369117976,NA,NA
131,1.03649710394087,1.05235777196085,1.03753271682566,1.03637515398732,NA,NA
132,1.03682057529155,1.05318894956441,1.03741389834763,1.03664297761006,NA,NA
133,1.0375925510059,1.05363043362988,1.03818944689446,1.03672477220153,NA,NA
134,1.03797739494907,1.0545360085751,1.03881502273668,1.03689791182462,NA,NA
135,1.03881305019352,1.05516726286173,1.0392636305321,1.03744442859766,NA,NA
136,1.03912061130357,1.05562230863357,1.03972974288867,1.03791112507091,NA,NA
137,1.03999312878056,1.05630978842049,1.04046563330631,1.03935013849229,NA,NA
138,1.04053314576694,1.05633827560151,1.04137711716335,1.03960457043012,NA,NA
139,1.04133924929829,1.05679592984349,1.04156979127548,1.04025804830228,NA,NA
140,1.04255966672268,1.0571911078382,1.04161897435016,1.04082397186062,NA,NA
141,1.0437482120599,1.05810720875549,1.04220610717005,1.04137339685078,NA,NA
142,1.04338248051039,1.05874849435643,1.04271372827107,1.04156782417823,NA,NA
143,1.04331004863106,1.05912409623523,1.04349754376396,1.04174664955382,NA,NA
144,1.04398435544341,1.05944037539756,1.04477681637166,1.04139151223125,NA,NA
145,1.04412805291889,1.05968532754704,1.04417815637073,1.04184982946192,NA,NA
146,1.04469543874391,1.05990656743424,1.04492725086974,1.04227517858553,NA,NA
147,1.04475189120981,1.06040506579871,1.04520948458656,1.04278208772191,NA,NA
148,1.04526426699589,1.06000796614444,1.04562775236628,1.04378443717668,NA,NA
149,1.04563027906845,1.06081256162994,1.04600864719375,1.04379150271874,NA,NA
150,1.04612585825658,1.06058260922385,1.04649226271495,1.04438858773419,NA,NA
151,1.04681732479918,1.06076067055951,1.11290714063432,1.07654443223668,NA,NA
152,1.04746636398366,1.06140081410359,1.16747369189917,1.09947217847518,NA,NA
153,1.04804462023886,1.06243713389116,1.19529792130344,1.11354116932501,NA,NA
154,1.04910522924649,1.06326188103141,1.20671282647954,1.12020997502745,NA,NA
155,1.05036459045716,1.06453823231484,1.21060099260909,1.12359167334183,NA,NA
156,1.05187808261572,1.06543512618277,1.2113304401624,1.12546070277075,NA,NA
157,1.05337674402737,1.06656228805509,1.21289424592814,1.12691633212447,NA,NA
158,1.05476047882029,1.0677036308318,1.21483567396722,1.12825248660604,NA,NA
159,1.05616630382108,1.06861879187307,1.21652904848774,1.12954958849914,NA,NA
160,1.05764272115272,1.07006057876446,1.21809518237289,1.13110747431,NA,NA
161,1.05909358217203,1.0713980151578,1.21957380941236,1.13307176632943,NA,NA
162,1.0606697427933,1.07290348993648,1.22117562792803,1.13473639946005,NA,NA
163,1.06233875998009,1.07415720791236,1.22279536222496,1.13626832245266,NA,NA
164,1.06382497138335,1.07536332506305,1.22408982109979,1.1381087151755,NA,NA
165,1.06553289777003,1.07640373624307,1.22569797684434,1.14683324960572,NA,NA
166,1.06714954423327,1.07766295356434,1.22741434168732,1.15861178584637,NA,NA
167,1.06874015818671,1.07882089492026,1.2289242077909,1.16708032140497,NA,NA
168,1.07038374785195,1.08022759390977,1.23045890251307,1.17242252092122,NA,NA
169,1.07208818285374,1.08166094249854,1.23214678698301,1.17596988107065,NA,NA
170,1.07388878794726,1.08295171601592,1.23387802442867,1.17747715908544,NA,NA
171,1.07555040668056,1.08422600975778,1.23549746186906,1.17919765970229,NA,NA
172,1.07682839990719,1.08555664027165,1.23711771546545,1.18026683335851,NA,NA
173,1.07868183574823,1.08684211601143,1.23815835196937,1.18178275711682,NA,NA
174,1.08018148424075,1.08818434243125,1.23959787578992,1.18344870055622,NA,NA
175,1.08173993369023,1.08928654782114,1.24119941026694,1.18512679066274,NA,NA
176,1.08296573813269,1.09023037059246,1.2424341201287,1.18643719166621,NA,NA
177,1.08398024854804,1.09156157673277,1.2440857108935,1.18794103135495,NA,NA
178,1.08530817348536,1.09282529659573,1.24562607332132,1.18940144520616,NA,NA
179,1.0872252850744,1.09401859805542,1.24714546157739,1.19111934919703,NA,NA
180,1.08893978412077,1.0951646065373,1.249032234546,1.1927666701909,NA,NA
181,1.09043745014087,1.0961254966216,1.25069997691033,1.1975449584479,NA,NA
182,1.09191124786391,1.09736204301926,1.25207423353767,1.20683760106585,NA,NA
183,1.09334378530825,1.09837946850939,1.25352760752153,1.2136579888442,NA,NA
184,1.09480610099415,1.09947734489944,1.25543113303465,1.21778664416482,NA,NA
185,1.09636678696434,1.10060375015909,1.25662440457557,1.22052725537965,NA,NA
186,1.09788109093283,1.10167258068861,1.25789605307727,1.22220613601087,NA,NA
187,1.0993386178707,1.10308304907886,1.25926227273261,1.22374831377825,NA,NA
188,1.10082221409441,1.1041333390508,1.26098000026284,1.22529887552666,NA,NA
189,1.10241922548638,1.10550883790495,1.26221483765521,1.22671334657035,NA,NA
190,1.10393435281021,1.10654591487447,1.26378392289889,1.22792127569134,NA,NA
191,1.10553036751675,1.10765670447701,1.26557333505037,1.22920374267737,NA,NA
192,1.10694428996462,1.10860550925247,1.26690120739367,1.23042905456311,NA,NA
193,1.10842196947584,1.10956187568805,1.26846512941826,1.23167206404683,NA,NA
194,1.10972930739483,1.11088045377976,1.26984522222932,1.23347680165674,NA,NA
195,1.11106882808139,1.11226928544721,1.27153691840313,1.23408173650413,NA,NA
196,1.11255805059138,1.11327289178648,1.27331326293148,1.24221356181153,NA,NA
197,1.11423613424156,1.11417400250672,1.27461487828346,1.24807725369709,NA,NA
198,1.11576863398953,1.11545778876428,1.27605804034232,1.25187489778669,NA,NA
199,1.11715076039055,1.1163732665862,1.27745266560793,1.25404032095659,NA,NA
200,1.11892135454322,1.11725031931798,1.27895427094998,1.25647049657899,NA,NA
201,1.12021676612672,1.11815112924111,1.27970966966056,1.25757670538709,NA,NA
202,1.12189809965418,1.11923196415459,1.2812380706948,1.25885258297142,NA,NA
203,1.12324966128411,1.11992668540532,1.28282633735008,1.26021207611231,NA,NA
204,1.1248134181283,1.12121158240953,1.28446545505273,1.2617450293458,NA,NA
205,1.1259738898606,1.12216252127239,1.2859238434783,1.26332852757829,NA,NA
206,1.12719922054406,1.12293074807076,1.28704333963414,1.26522253233047,NA,NA
207,1.12871656154664,1.12386694590465,1.28857392744177,1.26662310941253,NA,NA
208,1.13051404998271,1.1248418529854,1.29002494871781,1.26820722718614,NA,NA
209,1.13201974810897,1.12592551103017,1.29158550611884,1.26965263139293,NA,NA
210,1.13390197949,1.1264552904111,1.2930614041928,1.27084989633625,NA,NA
211,1.13540647400962,1.12741907377912,1.29455157721623,1.27208570869836,NA,NA
212,1.13668500663476,1.12832833864527,1.29600815437797,1.27317440969626,NA,NA
213,1.13780901629168,1.12932353089808,1.29739166193705,1.27447895186876,NA,NA
214,1.13946934467864,1.13021362033163,1.29869819891319,1.27578815429135,NA,NA
215,1.14082516581007,1.13167298903087,1.3000599524037,1.27746658990639,NA,NA
216,1.14238348268665,1.13280276458442,1.30148841707108,1.2787421556502,NA,NA
217,1.14416626205027,1.13353865589051,1.30309660872569,1.27999304519225,NA,NA
218,1.14539085830774,1.1344527507201,1.30463315870152,1.2814056101282,NA,NA
219,1.1468316598608,1.13517769763566,1.30623384215985,1.28272692056205,NA,NA
220,1.148679882412,1.13584270543933,1.30751687849158,1.28407764361226,NA,NA
221,1.14967547516257,1.13673394100226,1.30851358681035,1.28591539162623,NA,NA
222,1.15114640430471,1.13750344819177,1.31014635292009,1.28744207098955,NA,NA
223,1.15237987015681,1.138296076778,1.31169654348408,1.2885546010524,NA,NA
224,1.15344189874945,1.13920010858894,1.31318532628921,1.28970299516931,NA,NA
225,1.15478396131231,1.14001462906536,1.31453879597589,1.29110399721637,NA,NA
226,1.15610663817432,1.14050744136164,1.31571908882098,1.29209162986352,NA,NA
227,1.1575416208521,1.14138250044223,1.31722472127741,1.29352756862316,NA,NA
228,1.15884231410201,1.14227910717569,1.31876143055428,1.29486707763486,NA,NA
229,1.16027133896174,1.14298408053256,1.31990408167026,1.2964908075342,NA,NA
230,1.16180499688128,1.14371176256046,1.32126212141158,1.29774109429431,NA,NA
231,1.16327187404029,1.14450326454788,1.32265964297365,1.29936880335252,NA,NA
232,1.1648496254368,1.14551354491335,1.32413368868671,1.30045586369619,NA,NA
233,1.16616621812843,1.14648922708638,1.32545574484621,1.3019604096648,NA,NA
234,1.16746570135207,1.14715322184006,1.326666166087,1.30317739697482,NA,NA
235,1.16879713339989,1.14819852288896,1.3281045168454,1.30499280240355,NA,NA
236,1.17008287582091,1.14863259518927,1.32969055642822,1.30626843204176,NA,NA
237,1.17117283584102,1.14963582173333,1.33115470103785,1.30758897629163,NA,NA
238,1.17226158483955,1.15048638548949,1.33244289605006,1.30871284249561,NA,NA
239,1.17342312138502,1.15155931122125,1.33372422700279,1.30997275675819,NA,NA
240,1.17472349216032,1.15229796478981,1.33482674996671,1.3117705896344,NA,NA
241,1.17623027993229,1.15287367390574,1.33632109549043,1.31324846979687,NA,NA
242,1.17737118994634,1.15367047748054,1.3378186886806,1.31455981754457,NA,NA
243,1.17894748368792,1.15448874808986,1.33926408668969,1.31561796625176,NA,NA
244,1.18045237965857,1.15551066136427,1.34079573095151,1.31706721619236,NA,NA
245,1.18222960195847,1.15666985701216,1.34230328305035,1.31826016534667,NA,NA
246,1.18350228251534,1.1573349116279,1.34367595644279,1.31926461274196,NA,NA
247,1.18467206405993,1.15822908916962,1.34481295431688,1.32055364134734,NA,NA
248,1.18586607111189,1.15862358521449,1.34610647603875,1.3215244538096,NA,NA
249,1.18715978273662,1.15944844958198,1.34739194527745,1.32287250920681,NA,NA
250,1.1885896698676,1.16039716734566,1.3486456905664,1.32413063188275,NA,NA
251,1.18980093334242,1.16081494190766,1.3498346305055,1.32521208159097,NA,NA
252,1.19074322661269,1.16177073398673,1.35157031162232,1.32666987188178,NA,NA
253,1.19232105474621,1.16261708343043,1.35308598253818,1.32794138529494,NA,NA
254,1.19336921797545,1.16341913963481,1.35459204287303,1.32942918180641,NA,NA
255,1.1949381647699,1.16427071468934,1.35578054061956,1.33082821021023,NA,NA
256,1.19612817477886,1.16509805098812,1.35701839640259,1.33227733615283,NA,NA
257,1.19748602441497,1.16594987205782,1.35808382616366,1.33383457663537,NA,NA
258,1.19851142307623,1.16651181824992,1.35928381293679,1.33522384830146,NA,NA
259,1.19985115590928,1.16704911028938,1.36043489344199,1.33658513307887,NA,NA
260,1.20115138196913,1.16751866972978,1.36158794855195,1.33792308278821,NA,NA
261,1.20254723359643,1.16810042649225,1.36308181856654,1.33878177611363,NA,NA
262,1.20421040866787,1.168842287235,1.36391456646189,1.33991563822285,NA,NA
263,1.20540437909309,1.16986139752176,1.36503204576878,1.34069977413086,NA,NA
264,1.20681230784263,1.17051182754753,1.36602153581517,1.34203162509353,NA,NA
265,1.20801667140574,1.17128927067476,1.36715799668415,1.34322614472299,NA,NA
266,1.20919146917236,1.17192501278947,1.36847892372146,1.34445963703552,NA,NA
267,1.21008734530714,1.17206526543041,1.36968961139498,1.34561826727263,NA,NA
268,1.21160034604026,1.17262627997912,1.37097704576217,1.34691078198768,NA,NA
269,1.21300923066826,1.17322866873461,1.37231112705562,1.34807602367278,NA,NA
270,1.21415292023435,1.1739666585264,1.37325796985884,1.34940710331399,NA,NA
271,1.21524486899721,1.17454573399508,1.37453268912005,1.35059129185454,NA,NA
272,1.21627481748666,1.17493609770335,1.37583389699252,1.3515934090749,NA,NA
273,1.21766404942672,1.17585235114304,1.37726422319782,1.35306773569194,NA,NA
274,1.21919480278555,1.17645470985823,1.37866870178653,1.35454178363767,NA,NA
275,1.22070426008001,1.17728088570812,1.38006707122515,1.35593324337477,NA,NA
276,1.22156863915366,1.17753614947505,1.38111655547057,1.35663215055506,NA,NA
277,1.22283041484325,1.17831779894487,1.38270678072069,1.35808610548679,NA,NA
278,1.2240198781383,1.1791350574676,1.38408773756784,1.35924460728671,NA,NA
279,1.2253394479972,1.17978135169732,1.38507783549185,1.3601409827882,NA,NA
280,1.22681572374855,1.18018416706596,1.38630145283399,1.36122444713981,NA,NA
281,1.22762105662529,1.1808656913854,1.38753988462445,1.36224703151297,NA,NA
282,1.22908097415506,1.18141086510612,1.38890452443639,1.36355810602613,NA,NA
283,1.23034057000582,1.18169034976226,1.39013258285618,1.36490587766443,NA,NA
284,1.23160784956076,1.18271760618126,1.39172340870216,1.36636095880331,NA,NA
285,1.23316413519562,1.18324842917796,1.39306764077376,1.36764437537664,NA,NA
286,1.23429029413589,1.1837812289227,1.39431712897427,1.36856138891474,NA,NA
287,1.23531158348522,1.18447427339048,1.39519049644095,1.36917549258172,NA,NA
288,1.2363252732823,1.18507804618927,1.39593802685709,1.37016883701797,NA,NA
289,1.23756489257709,1.18546685121763,1.39715891398684,1.37158523402103,NA,NA
290,1.23903144104092,1.18588387534142,1.39811926396235,1.3726829412844,NA,NA
291,1.24004042678931,1.18650201024977,1.39922925716762,1.3737780781579,NA,NA
292,1.24126675137138,1.18689123308352,1.40030144654972,1.37481979573266,NA,NA
293,1.24218991502944,1.18764152481588,1.40153227802461,1.37603521556025,NA,NA
294,1.24357407476229,1.18833693913924,1.40284809510941,1.37732396245173,NA,NA
295,1.24456892383067,1.18887600776025,1.40409007765726,1.37855179385126,NA,NA
296,1.24594274850092,1.18944509517966,1.40526732233626,1.37969980879164,NA,NA
297,1.24729073429543,1.19003144167075,1.40630893913511,1.3806106141496,NA,NA
298,1.24839660853734,1.19044045252275,1.40750227027676,1.38181025181422,NA,NA
299,1.24927634213032,1.19076147170277,1.40837935832553,1.38297880254025,NA,NA
300,1.25032723877981,1.19124964377996,1.40992543564085,1.38421386268436,NA,NA
301,1.2513450490361,1.19164134152276,1.41087797168576,1.38509543803123,NA,NA
302,1.25263620808514,1.19227433551934,1.4119922539494,1.38591905004624,NA,NA
303,1.25366965607111,1.19281471159403,1.41338600475504,1.38699642941766,NA,NA
304,1.25478594345628,1.19328213502025,1.41459141324987,1.38805166337364,NA,NA
305,1.25597942653676,1.19351343980909,1.4157999942494,1.38953895965341,NA,NA
306,1.25747772108377,1.19401125683679,1.41672294089874,1.39051820293265,NA,NA
307,1.25848392081073,1.1948153735167,1.41801989198202,1.39219785593278,NA,NA
308,1.25973475834051,1.1955398960145,1.41942198589298,1.3932735799358,NA,NA
309,1.26104504809659,1.19582181954009,1.42051906763404,1.39383768402541,NA,NA
310,1.26226847921545,1.19653641678423,1.42181058736973,1.39493763143297,NA,NA
311,1.26330519519301,1.19653571968288,1.42323850939611,1.39627213403764,NA,NA
312,1.26418215560384,1.19694454845387,1.42420396134411,1.39732200550383,NA,NA
313,1.26515373683483,1.19724636299302,1.42525377311926,1.39824061874589,NA,NA
314,1.26655445121014,1.19759891340856,1.42627205854977,1.39922331885611,NA,NA
315,1.26769721933487,1.19800426372306,1.42760490573396,1.39996235325763,NA,NA
316,1.26892300302549,1.1984631219855,1.42882999533892,1.40137622281621,NA,NA
317,1.27011943291683,1.1989172612497,1.43014684528699,1.40233735764809,NA,NA
318,1.27108168099593,1.19911450182774,1.43106686611383,1.40321640739599,NA,NA
319,1.27213453269754,1.19931665850519,1.43228693040432,1.40469699621161,NA,NA
320,1.27320776151038,1.19988992192034,1.43312192372617,1.4059549928944,NA,NA
321,1.27427208201173,1.20007901277532,1.43409373419973,1.40743362452669,NA,NA
322,1.27579959464997,1.20077045796936,1.43509470439495,1.40839784753738,NA,NA
323,1.27684938966048,1.20125957539638,1.43609142857399,1.40963614295209,NA,NA
324,1.27760739665034,1.20182162975109,1.43703522560511,1.41074972889337,NA,NA
325,1.27861254241281,1.20248722500463,1.4381232116756,1.41187210193391,NA,NA
326,1.27945783452251,1.20255253511189,1.43899667575033,1.41280824084269,NA,NA
327,1.28035433968185,1.20292154047372,1.44019682870727,1.41414643226335,NA,NA
328,1.28166518331794,1.20337575264914,1.44141913807513,1.41512755326943,NA,NA
329,1.28300534367868,1.20411476810259,1.44221948621324,1.41632557277503,NA,NA
330,1.28407983098852,1.20460880289894,1.44340367624811,1.41737679998932,NA,NA
331,1.28527895861889,1.20497699677857,1.44475828049338,1.41810688408907,NA,NA
332,1.28630250399664,1.20584340039932,1.44587595725575,1.41931955012344,NA,NA
333,1.28733507214446,1.20637289190134,1.4467190942823,1.42040836594169,NA,NA
334,1.28880893490983,1.20673001339074,1.44799382870554,1.421528466417,NA,NA
335,1.2898262943486,1.20721580847449,1.44908987139882,1.42231641868038,NA,NA
336,1.29077959972888,1.20782385176898,1.44989409662705,1.42320348665012,NA,NA
337,1.2920517327756,1.20814232150849,1.45058054427042,1.42446481506856,NA,NA
338,1.29329158292839,1.20832076539818,1.45134372314616,1.42556138829386,NA,NA
339,1.29463305264555,1.2087640316066,1.45241876568276,1.42683908135664,NA,NA
340,1.29564969761394,1.209531294269,1.45337366421101,1.42798123093196,NA,NA
341,1.29652343979777,1.20994213700999,1.45433605926478,1.42911486335059,NA,NA
342,1.29763252325928,1.21012716944677,1.45530847168081,1.43030210680098,NA,NA
343,1.29878009232438,1.21054757306047,1.45633381333953,1.43134205089501,NA,NA
344,1.29979431803645,1.21111271582946,1.45733348229361,1.43218357703066,NA,NA
345,1.30093587434338,1.21117075132349,1.45822211577769,1.43320469527454,NA,NA
346,1.30195668620136,1.21130166773711,1.45943562244127,1.43398984052433,NA,NA
347,1.30296331932823,1.21164653992215,1.46063515240843,1.43475779618889,NA,NA
348,1.30414006144759,1.21255969456919,1.46169339192692,1.43579857654622,NA,NA
349,1.30561971213466,1.21260451530917,1.46285333408877,1.43675678445654,NA,NA
350,1.306606081315,1.21301736151042,1.46407411882496,1.4377981302368,NA,NA
